omega,spectrum
-2.7375,0.9472801660033948
-2.725,0.9734795799869733
-2.7125,1.0167394132263705
-2.7,1.0509156658524395
-2.6875,1.0467593581750312
-2.675,1.0233188528930564
-2.6625,1.0050944961980521
-2.65,0.9720910436257456
-2.6375,0.9031783611889901
-2.625,0.8233239108608326
-2.6125,0.757403246799381
-2.6,0.6969948364757509
-2.5875,0.627087914878369
-2.575,0.5591731010154618
-2.5625,0.5071279971718181
-2.55,0.46668561303450035
-2.5375,0.425253081582302
-2.525,0.3836037327353526
-2.5125,0.3508408636418405
-2.5,0.32732867752664
-2.4875,0.30520128791674495
-2.475,0.2807827652794198
-2.4625,0.2597472587396274
-2.45,0.24527787181072533
-2.4375,0.23356152403022165
-2.425,0.2197473337093723
-2.4125,0.20600848727168256
-2.4,0.19636146057048048
-2.3875,0.1897278519253431
-2.375,0.18192015044757426
-2.3625,0.17278568814205716
-2.35,0.16604046457866292
-2.3375,0.1621520962743567
-2.325,0.1576374780843535
-2.3125,0.1506130638497577
-2.3,0.14391323645305068
-2.2875,0.1391536098114869
-2.275,0.1340933549558445
-2.2625,0.12681483148230877
-2.25,0.11956612136731633
-2.2375,0.11442465765465097
-2.225,0.11027908023112944
-2.2125,0.10523296191270615
-2.2,0.10027322597019535
-2.1875,0.09710654141536454
-2.175,0.0950538404725836
-2.1625,0.09219673386471841
-2.15,0.08868936033252617
-2.1375,0.08613793209612117
-2.125,0.08440126691543395
-2.1125,0.08198210163873616
-2.1,0.07894089693539329
-2.0875,0.07676641016517162
-2.075,0.07555317038568707
-2.0625,0.07400805182703163
-2.05,0.0718423416378569
-2.0375,0.07021160416683239
-2.025,0.0692982028626548
-2.0125,0.06796764496571121
-2.0,0.06583682768469952
-1.9875,0.06390445402312558
-1.975,0.06235941220560766
-1.9625,0.06026005241831593
-1.95,0.057494182073375394
-1.9375,0.05504823802980924
-1.925,0.05307140097674654
-1.9125,0.050855286287146986
-1.9,0.04843487425936028
-1.8875,0.04656385181851151
-1.875,0.04523829150577744
-1.8625,0.043812227895599014
-1.85,0.0422723550720914
-1.8375,0.04117655284615392
-1.825,0.040465459692447824
-1.8125,0.03960627986763186
-1.8,0.03866646510235853
-1.7875,0.038101429938606
-1.775,0.03774712700738474
-1.7625,0.03711288275719811
-1.75,0.03636083210354072
-1.7375,0.035881909688427284
-1.725,0.03544231265953144
-1.7125,0.03467813012609516
-1.7,0.033882820398530654
-1.6875,0.03332440911128981
-1.675,0.03271684707773486
-1.6625,0.03192937135369021
-1.65,0.031329521901471036
-1.6375,0.03096728709474668
-1.625,0.03048196325776571
-1.6125,0.029880405811325023
-1.6,0.02948260196181143
-1.5875,0.029208559163634407
-1.575,0.028823710616775664
-1.5625,0.028530079318997727
-1.55,0.028496451754472196
-1.5375,0.02847538900368355
-1.525,0.028360790817256527
-1.5125,0.02840849771481159
-1.5,0.02857568348569444
-1.4875,0.02854777460432099
-1.475,0.02839955762021707
-1.4625,0.028317915130181396
-1.45,0.028082379605736733
-1.4375,0.027583744790491686
-1.425,0.02707766489164928
-1.4125,0.026527428640766203
-1.4,0.025721376269983064
-1.3875,0.024846904133639523
-1.375,0.024063742906176886
-1.3625,0.023211788365649282
-1.35,0.022329216612755394
-1.3375,0.021614047903325686
-1.325,0.021007142816093838
-1.3125,0.020458359933628465
-1.3,0.020118759427019923
-1.2875,0.019980567257617026
-1.275,0.019915209884650228
-1.2625,0.019979549726819524
-1.25,0.02019764053467281
-1.2375,0.02042125458773615
-1.225,0.02064940954248476
-1.2125,0.02095757046637953
-1.2,0.021234319046695812
-1.1875,0.02145473167969414
-1.175,0.021717421252695473
-1.1625,0.02192100775893479
-1.15,0.021994403541852624
-1.1375,0.02203237546492673
-1.125,0.021969488939828166
-1.1125,0.02177139463500466
-1.1,0.021568557486849074
-1.0875,0.021318767363678135
-1.075,0.020982693902603038
-1.0625,0.020664910838597207
-1.05,0.02032596628531932
-1.0375,0.019949161242554168
-1.025,0.019616892505037967
-1.0125,0.01927296089443037
-1.0,0.01891729593083777
-0.9875,0.01862337021457723
-0.975,0.018334426771171735
-0.9625,0.018053827508395067
-0.95,0.017813290735024374
-0.9375,0.017546261492886336
-0.925,0.017270121232003863
-0.9125,0.016997841280840566
-0.9,0.016697238892036535
-0.8875,0.016400570963086926
-0.875,0.016088351387283407
-0.8625,0.01577372677407448
-0.85,0.015517249130059479
-0.8375,0.015305273439573256
-0.825,0.015155967311467695
-0.8125,0.015073166991610785
-0.8,0.015022701153856868
-0.7875,0.015014661430808662
-0.775,0.015020454174226112
-0.7625,0.015031312495451055
-0.75,0.01506415832451155
-0.7375,0.01510703805491435
-0.725,0.015187348572328034
-0.7125,0.015309376625541724
-0.7,0.015479813523267202
-0.6875,0.015695585398499818
-0.675,0.015916977005771174
-0.6625,0.016140354750548352
-0.65,0.01634213536729865
-0.6375,0.016518041957734573
-0.625,0.01665812137040224
-0.6125,0.01675526499777009
-0.6,0.016820868794095927
-0.5875,0.016865273012551907
-0.575,0.01690800032753652
-0.5625,0.01693133861263311
-0.55,0.016929585686716292
-0.5375,0.016887629346058225
-0.525,0.016813834793614035
-0.5125,0.016715125727183363
-0.5,0.016616165782584222
-0.4875,0.016532153275142576
-0.475,0.016480886516192526
-0.4625,0.016462484936392238
-0.45,0.01647623056435069
-0.4375,0.01651538142872384
-0.425,0.016574362248834535
